"Notes"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"Dorchester County, MD"	"24019"	1720	127633	1347.6
	"Frederick County, MD"	"24021"	8007	1045517	765.8
	"Garrett County, MD"	"24023"	1495	115881	1290.1
	"Harford County, MD"	"24025"	9353	1023007	914.3
	"Howard County, MD"	"24027"	7477	1305286	572.8
	"Kent County, MD"	"24029"	1153	77189	1493.7
	"Montgomery County, MD"	"24031"	26659	4206887	633.7
	"Prince George's County, MD"	"24033"	27775	3637859	763.5
	"Queen Anne's County, MD"	"24035"	1858	202966	915.4
	"St. Mary's County, MD"	"24037"	3713	455548	815.1
	"Somerset County, MD"	"24039"	1174	102197	1148.8
	"Talbot County, MD"	"24041"	2029	148093	1370.1
	"Washington County, MD"	"24043"	7148	604267	1182.9
	"Wicomico County, MD"	"24045"	4406	414784	1062.2
	"Worcester County, MD"	"24047"	2693	208905	1289.1
	"Baltimore city, MD"	"24510"	27872	2368247	1176.9
	"Barnstable County, MA"	"25001"	12368	852731	1450.4
	"Berkshire County, MA"	"25003"	6518	500434	1302.5
	"Bristol County, MA"	"25005"	23323	2262769	1030.7
	"Dukes County, MA"	"25007"	646	69606	928.1
	"Essex County, MA"	"25009"	29785	3162198	941.9
	"Franklin County, MA"	"25011"	2950	281677	1047.3
	"Hampden County, MA"	"25013"	20002	1864750	1072.6
	"Hampshire County, MA"	"25015"	5508	644987	854.0
	"Middlesex County, MA"	"25017"	48720	6445171	755.9
	"Nantucket County, MA"	"25019"	305	45478	670.7
	"Norfolk County, MA"	"25021"	24506	2830981	865.6
	"Plymouth County, MA"	"25023"	20520	2086810	983.3
	"Suffolk County, MA"	"25025"	20247	3214323	629.9
	"Worcester County, MA"	"25027"	30454	3319885	917.3
	"Alcona County, MI"	"26001"	781	41777	1869.4
	"Alger County, MI"	"26003"	435	36235	1200.5
	"Allegan County, MI"	"26005"	4563	473262	964.2
	"Alpena County, MI"	"26007"	1626	113241	1435.9
	"Antrim County, MI"	"26009"	1172	93587	1252.3
	"Arenac County, MI"	"26011"	874	59830	1460.8
	"Baraga County, MI"	"26013"	465	32857	1415.2
	"Barry County, MI"	"26015"	2541	246829	1029.5
	"Bay County, MI"	"26017"	5637	411823	1368.8
	"Benzie County, MI"	"26019"	936	71223	1314.2
	"Berrien County, MI"	"26021"	7283	613592	1186.9
	"Branch County, MI"	"26023"	2052	173987	1179.4
	"Calhoun County, MI"	"26025"	6827	535806	1274.2
	"Cass County, MI"	"26027"	2343	206608	1134.0
